Performance Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client A,,,,Client B,,,,Server,,,,,,,,Server,,,,,,,,,,,,,,,,,,,,,,,
No Synchronisation,,,,No Synchronisation,,,,No Synchronisation,,,,Memory Profiling,,,,"Memory Profiling, No Synchronisation",,,,,,,,,,,,,,,,,,,,,,,
Round,,FPS,,Round,,FPS,,Round,,FPS,,Round,Memory Usage,GC Time,,," 108,689,927,744 bytes allocated in the heap",," 110,998,420,816 bytes allocated in the heap",," 111,406,259,120 bytes allocated in the heap",," 110,357,780,944 bytes allocated in the heap",," 107,814,435,960 bytes allocated in the heap",," 113,187,357,704 bytes allocated in the heap",," 111,073,107,360 bytes allocated in the heap",," 111,912,653,784 bytes allocated in the heap",," 112,123,615,504 bytes allocated in the heap",,,,,,"105,270,088,240 bytes allocated in the heap"
,Memory Usage,,GC Time,,Memory Usage,,GC Time,,,,,,,,,,  GC      time    8.560s  (  8.660s elapsed),,  GC      time    8.380s  (  8.432s elapsed),,  GC      time    8.572s  (  8.612s elapsed),,  GC      time    8.641s  (  8.703s elapsed),,  GC      time    8.588s  (  8.634s elapsed),,  GC      time    8.484s  (  8.520s elapsed),,  GC      time    8.641s  (  8.663s elapsed),,  GC      time    8.678s  (  8.753s elapsed),,  GC      time    8.526s  (  8.594s elapsed),,,,,,  GC      time    8.654s  (  8.678s elapsed)
,Average in Mb,SD,Average in %,SD,Average in Mb,SD,Average in %,SD,,,,,,,,,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,,,,,  RP      time    0.000s  (  0.000s elapsed)
Server,4,0,3.23,0.067494855771055,201.2,4.04969134626332,20.52,0.204396129556745,,,,,,,,,  PROF    time    5.773s  (  5.812s elapsed),,  PROF    time    5.526s  (  5.535s elapsed),,  PROF    time    5.747s  (  5.759s elapsed),,  PROF    time    5.772s  (  5.794s elapsed),,  PROF    time    5.898s  (  6.015s elapsed),,  PROF    time    6.885s  (  6.898s elapsed),,  PROF    time    6.377s  (  6.403s elapsed),,  PROF    time    5.910s  (  5.945s elapsed),,  PROF    time    5.600s  (  5.648s elapsed),,,,,,  PROF    time    6.496s  (  6.515s elapsed)
,,,,,,,,,,,,,,,,,  EXIT    time    0.020s  (  0.020s elapsed),,  EXIT    time    0.014s  (  0.014s elapsed),,  EXIT    time    0.016s  (  0.016s elapsed),,  EXIT    time    0.019s  (  0.019s elapsed),,  EXIT    time    0.018s  (  0.018s elapsed),,  EXIT    time    0.014s  (  0.014s elapsed),,  EXIT    time    0.005s  (  0.005s elapsed),,  EXIT    time    0.019s  (  0.019s elapsed),,  EXIT    time    0.002s  (  0.006s elapsed),,,,,,  EXIT    time    0.018s  (  0.018s elapsed)
,,,,,,,,,,,,,,,,,  Total   time   41.566s  ( 42.023s elapsed),,  Total   time   41.075s  ( 41.401s elapsed),,  Total   time   41.450s  ( 41.903s elapsed),,  Total   time   42.181s  ( 42.584s elapsed),,  Total   time   41.518s  ( 41.978s elapsed),,  Total   time   42.104s  ( 42.403s elapsed),,  Total   time   42.286s  ( 42.622s elapsed),,  Total   time   41.799s  ( 42.223s elapsed),,  Total   time   41.296s  ( 41.764s elapsed),,,,,,  Total   time   42.443s  ( 42.743s elapsed)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,  %GC     time      20.6%  (20.6% elapsed),,  %GC     time      20.4%  (20.4% elapsed),,  %GC     time      20.7%  (20.6% elapsed),,  %GC     time      20.5%  (20.4% elapsed),,  %GC     time      20.7%  (20.6% elapsed),,  %GC     time      20.1%  (20.1% elapsed),,  %GC     time      20.4%  (20.3% elapsed),,  %GC     time      20.8%  (20.7% elapsed),,  %GC     time      20.6%  (20.6% elapsed),,,,,,  %GC     time      20.4%  (20.3% elapsed)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"  Alloc rate    3,429,056,199 bytes per MUT second",,"  Alloc rate    3,490,025,627 bytes per MUT second",,"  Alloc rate    3,620,265,154 bytes per MUT second",,"  Alloc rate    3,585,344,068 bytes per MUT second",,"  Alloc rate    3,596,237,422 bytes per MUT second",,"  Alloc rate    3,620,183,493 bytes per MUT second",,"  Alloc rate    3,581,393,410 bytes per MUT second",,"  Alloc rate    3,583,172,437 bytes per MUT second",,"  Alloc rate    3,634,076,033 bytes per MUT second",,,,,,"  Alloc rate    3,577,469,985 bytes per MUT second"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"  Productivity  65.5% of total user, 65.6% of total elapsed",,"  Productivity  66.1% of total user, 66.3% of total elapsed",,"  Productivity  65.5% of total user, 65.7% of total elapsed",,"  Productivity  65.8% of total user, 66.0% of total elapsed",,"  Productivity  65.1% of total user, 65.1% of total elapsed",,"  Productivity  63.5% of total user, 63.6% of total elapsed",,"  Productivity  64.5% of total user, 64.7% of total elapsed",,"  Productivity  65.1% of total user, 65.2% of total elapsed",,"  Productivity  65.8% of total user, 65.9% of total elapsed",,,,,,"  Productivity  64.3% of total user, 64.5% of total elapsed"
